Applicant_ID,Identity_Card,Name,Age,Gender,Education_Level,Field_of_Study,Education_Background,Skills,Graduation_Year,Experience_Years,Certifications,Job_Applied,Required_Education_Levels,Required_Fields,Required_Min_Experience,Required_Max_Experience,Required_Skills,Required_Certifications,Shortlisted
778,1199780001722145,HABIMANA Chantal,28,Male,Bachelor's,Education,Bachelor's in Education,"Assessment, Educational Technology, Classroom Management, Lesson Planning",2021,4,"TESOL, National Board Certification",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
779,1197980005100462,HABIYAREMYE Marie,46,Male,Master's,Law,Master's in Law,"Negotiation, Corporate Law, Litigation, Contract Law, Legal Research, Compliance",2006,19,"CPLP, Certified Legal Manager, Bar Admission",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
780,1197880007520238,NSENGIYUMVA Peter,47,Male,PhD,Nursing,PhD in Nursing,"Emergency Response, Healthcare Ethics, CPR, Patient Care, Medical Records",2012,13,"PALS, CCRN",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
781,1197470003258486,MUKAMUSONERA Jean,51,Female,Master's,Economics,Master's in Economics,"R, Statistical Analysis, Forecasting, Python",2002,23,"Certified Business Economist, FRM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
782,2200380009176799,RUTAYISIRE Claudine,22,Male,Bachelor's,Business Administration,Bachelor's in Business Administration,"Communication, Project Management, Negotiation, Business Analysis",2025,0,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
783,1197980000830373,RUKUNDO Peter,46,Male,PhD,Marketing,PhD in Marketing,"SEO, Market Research, Social Media, Google Analytics, Content Marketing, Email Marketing",2006,19,"Google Analytics Certification, HubSpot Certification",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
784,1196980001368528,NDAYISENGA Patrick,56,Male,Master's,Nursing,Master's in Nursing,"Healthcare Ethics, CPR, Patient Care",1994,31,"ACLS, NCLEX-RN",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
785,1198880004462632,KAMALI Marie,37,Male,Master's,Accounting,Master's in Accounting,"Auditing, QuickBooks, SAP, Financial Reporting, Excel",2012,13,CPA,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
786,1198780001751887,TWAGIRAYEZU Jean,38,Male,Master's,Engineering,Master's in Engineering,"Quality Control, Technical Drawing, SolidWorks, AutoCAD, MATLAB, Project Management",2011,14,"LEED, Six Sigma Green Belt",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
787,1200380001225288,NDAYISENGA Peter,22,Male,Bachelor's,Business Administration,Bachelor's in Business Administration,"Leadership, Project Management, Communication, Strategic Planning, Business Analysis",2025,0,"CAPM, MBA, PMP",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
788,1200070007876553,MUKANDAYA Alice,25,Female,Diploma,Economics,Diploma in Economics,"R, Econometrics, Statistical Analysis",2020,5,"CFA, FRM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
789,1200470007121988,MUKANYIRABUKA Alice,21,Female,Diploma,Education,Diploma in Education,"Assessment, Educational Technology, Curriculum Development, Classroom Management",2024,1,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
790,2198580004010424,HABIYAREMYE Paul,40,Male,Master's,Law,Master's in Law,"Litigation, Negotiation, Corporate Law, Legal Research",2012,13,"Bar Admission, Certified Legal Manager",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
791,1200370004521289,MUKAGASANA Eric,22,Female,Diploma,Nursing,Diploma in Nursing,"Patient Care, Healthcare Ethics, Medical Records, Emergency Response, CPR",2023,2,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
792,1196780003044881,RUKUNDO Paul,58,Male,Master's,Law,Master's in Law,"Compliance, Litigation, Legal Research, Contract Law, Corporate Law",1996,29,"Certified Legal Manager, Bar Admission",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
793,1200170001190170,MUKAGASANA Alice,24,Female,Master's,Engineering,Master's in Engineering,"Technical Drawing, AutoCAD, SolidWorks, Quality Control, Project Management, MATLAB",2025,0,"LEED, PE License",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
794,1199180002836084,HABIMANA Diane,34,Male,Master's,Engineering,Master's in Engineering,"Project Management, Technical Drawing, MATLAB, AutoCAD",2021,4,"LEED, PMI-PMP, Six Sigma Green Belt",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
795,1198280006969443,NDAYISENGA Peter,43,Male,Master's,Nursing,Master's in Nursing,"Healthcare Ethics, CPR, Medical Records",2012,13,"BLS, CCRN, ACLS",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
796,1199680009132033,RUTAYISIRE Alice,29,Male,Master's,Education,Master's in Education,"Assessment, Classroom Management, Lesson Planning",2020,5,"Teaching License, CPCE",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
797,1199780006153722,TWAGIRAYEZU Alice,28,Male,Diploma,Education,Diploma in Education,"Curriculum Development, Assessment, Classroom Management, Educational Technology, Lesson Planning",2017,8,TESOL,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
798,1199280007746040,KALISA Claudine,33,Male,Master's,Marketing,Master's in Marketing,"SEO, Market Research, Google Analytics, Social Media",2019,6,"HubSpot Certification, PCM",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
799,1198680002607819,RUTAYISIRE Marie,39,Male,Bachelor's,Marketing,Bachelor's in Marketing,"Market Research, Content Marketing, Google Analytics, SEO, Email Marketing",2010,15,"PCM, HubSpot Certification, Google Analytics Certification",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
800,1199670003763882,MUKASHYAKA Diane,29,Female,Diploma,Information Technology,Diploma in Information Technology,"Cloud Computing, Windows Server, Networking, ITIL, Cybersecurity",2018,7,"CISM, CCNA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
801,1199880004438998,RUKUNDO Theogene,27,Male,Diploma,Economics,Diploma in Economics,"Data Visualization, Statistical Analysis, Econometrics, Forecasting, R, Python",2019,6,"CFA, FRM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
802,2198580004493699,NSENGIYUMVA Jean,40,Male,Bachelor's,Engineering,Bachelor's in Engineering,"Project Management, Quality Control, MATLAB",2009,16,PMI-PMP,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
803,1197480008573680,HABIYAREMYE Claudine,51,Male,Bachelor's,Education,Bachelor's in Education,"Educational Technology, Classroom Management, Lesson Planning",1996,29,"Teaching License, National Board Certification, TESOL",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
804,1200070008723335,MUKAYIRANGA Alice,25,Female,Diploma,Information Technology,Diploma in Information Technology,"Networking, Cloud Computing, Cybersecurity, Database Administration, Linux",2020,5,"CompTIA A+, CCNA, CEH",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
805,1199980009830748,RUKUNDO Jean,26,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"Database Administration, Linux, Cybersecurity, Windows Server, Networking, Cloud Computing",2021,4,CEH,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
806,1198270007820190,MUKAMUSONERA Eric,43,Female,PhD,Nursing,PhD in Nursing,"Emergency Response, Healthcare Ethics, Clinical Skills, Medical Records",2013,12,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
807,1199180002470739,TWAGIRAYEZU Grace,34,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"ITIL, Database Administration, Linux",2013,12,"ITIL Foundation, CISM",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
808,2199480006025082,KAMALI Grace,31,Male,Bachelor's,Nursing,Bachelor's in Nursing,"Patient Care, Emergency Response, Clinical Skills",2019,6,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
809,1197780002488899,KALISA Jean,48,Male,PhD,Accounting,PhD in Accounting,"CPA, QuickBooks, SAP, Taxation",2011,14,"CIA, ACCA, CMA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
810,1198870000364687,MUKAGASANA Claudine,37,Female,Master's,Economics,Master's in Economics,"Forecasting, Econometrics, Statistical Analysis",2012,13,Certified Business Economist,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
811,1197980000828323,NDAYISENGA Diane,46,Male,Master's,Economics,Master's in Economics,"Econometrics, Data Visualization, Statistical Analysis",2003,22,"Certified Business Economist, CFA",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
812,1196970002067323,MUKAGASANA Claudine,56,Female,Master's,Education,Master's in Education,"Educational Technology, Classroom Management, Curriculum Development",1998,27,"Teaching License, TESOL, National Board Certification",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
813,1198770000000001,MUKARUHOGO Marie,38,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Financial Reporting, SAP, Taxation",2010,15,"CPA, CIA, CMA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
814,1196670002556184,MUKAMUSONERA Olivier,59,Female,Bachelor's,Education,Bachelor's in Education,"Classroom Management, Lesson Planning, Curriculum Development, Assessment, Educational Technology",1990,35,"National Board Certification, CPCE",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
815,1198680005670867,NSENGIYUMVA Marie,39,Male,Diploma,Computer Science,Diploma in Computer Science,"Python, Algorithms, C++",2006,19,CISSP,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
816,1198170008266913,MUKAMURENZI Jean,44,Female,Master's,Marketing,Master's in Marketing,"Email Marketing, Content Marketing, Social Media, Market Research, SEO",2006,19,"Facebook Blueprint, Google Analytics Certification",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
817,2200270000633699,MUKAMUSONERA Emmanuel,23,Female,Bachelor's,Engineering,Bachelor's in Engineering,"AutoCAD, Technical Drawing, MATLAB, Quality Control, SolidWorks",2025,0,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
818,2199770004818804,MUKAMUSONERA Theogene,28,Female,PhD,Nursing,PhD in Nursing,"Clinical Skills, CPR, Healthcare Ethics, Patient Care",2025,0,NCLEX-RN,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
819,2200080004321269,NDAYISENGA Patrick,25,Male,Bachelor's,Nursing,Bachelor's in Nursing,"Clinical Skills, Healthcare Ethics, Medical Records, Emergency Response",2024,1,"ACLS, BLS",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
820,1199680008631441,KALISA Olivier,29,Male,PhD,Marketing,PhD in Marketing,"Social Media, Google Analytics, Content Marketing, Email Marketing, Market Research, SEO",2023,2,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
821,1199080005824301,KALISA Olivier,35,Male,Master's,Engineering,Master's in Engineering,"Project Management, SolidWorks, Technical Drawing, Quality Control, AutoCAD",2017,8,PE License,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
822,1197270004527905,MUKASHYAKA Emmanuel,53,Female,Master's,Computer Science,Master's in Computer Science,"Data Structures, Java, Machine Learning",1998,27,Azure Fundamentals,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
823,1197170009516321,MUKASHYAKA Grace,54,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,"Web Development, Algorithms, Python, Data Structures, Machine Learning, C++",1993,32,Azure Fundamentals,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
824,1199180006530601,TWAGIRAYEZU Diane,34,Male,Diploma,Economics,Diploma in Economics,"Python, R, Statistical Analysis, Econometrics, Forecasting, Data Visualization",2011,14,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
825,1200380009156182,TWAGIRAYEZU Grace,22,Male,Bachelor's,Law,Bachelor's in Law,"Negotiation, Corporate Law, Litigation, Contract Law",2025,0,"Certified Legal Manager, CPLP, Bar Admission",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
826,1196570006595201,MUKAMUSONERA Theogene,60,Female,Diploma,Accounting,Diploma in Accounting,"CPA, QuickBooks, SAP",1985,40,"CPA, CMA",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
827,2197180005092632,TWAGIRAYEZU Eric,54,Male,Bachelor's,Law,Bachelor's in Law,"Compliance, Negotiation, Contract Law, Legal Research",1994,31,Certified Legal Manager,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
828,1197870001404288,MUKAMURENZI Claudine,47,Female,Diploma,Marketing,Diploma in Marketing,"Market Research, SEO, Social Media, Email Marketing, Content Marketing",1998,27,"PCM, HubSpot Certification, Google Analytics Certification",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
829,2199680000030835,KAMALI Alice,29,Male,Bachelor's,Marketing,Bachelor's in Marketing,"SEO, Google Analytics, Content Marketing",2021,4,"Google Analytics Certification, HubSpot Certification, PCM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
830,1199180005506882,NSENGIYUMVA Olivier,34,Male,Bachelor's,Marketing,Bachelor's in Marketing,"Market Research, Google Analytics, Email Marketing, Social Media, SEO, Content Marketing",2013,12,"Facebook Blueprint, PCM",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
831,1198580008735437,KAMALI Paul,40,Male,Master's,Law,Master's in Law,"Corporate Law, Legal Research, Contract Law, Compliance",2014,11,"CPLP, Bar Admission",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
832,2198180000908599,KAMALI Patrick,44,Male,PhD,Education,PhD in Education,"Curriculum Development, Classroom Management, Lesson Planning, Assessment, Educational Technology",2009,16,National Board Certification,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
833,1198070008997184,MUKANDAYA Chantal,45,Female,PhD,Information Technology,PhD in Information Technology,"Cloud Computing, Cybersecurity, Database Administration, Linux, Networking",2015,10,"CEH, CCNA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
834,1197270009932312,MUKAMUSONERA Olivier,53,Female,Bachelor's,Law,Bachelor's in Law,"Contract Law, Corporate Law, Compliance, Litigation, Legal Research",1995,30,"CPLP, Bar Admission, Certified Legal Manager",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
835,2199780006072348,KALISA Patrick,28,Male,Diploma,Economics,Diploma in Economics,"Python, Data Visualization, Forecasting, R",2018,7,Certified Business Economist,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
836,1200380000561299,NDAYISENGA Olivier,22,Male,Diploma,Marketing,Diploma in Marketing,"Email Marketing, Content Marketing, Google Analytics",2024,1,"HubSpot Certification, PCM",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
837,2196970009656130,MUKAMANA Olivier,56,Female,PhD,Engineering,PhD in Engineering,"AutoCAD, MATLAB, Technical Drawing, SolidWorks, Project Management, Quality Control",2003,22,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
838,2198770008239484,MUKASHYAKA Olivier,38,Female,Master's,Nursing,Master's in Nursing,"Emergency Response, CPR, Healthcare Ethics",2011,14,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
839,2196680006101683,NDAYISENGA Eric,59,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,"Algorithms, Machine Learning, Python, Web Development",1988,37,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
840,1196570001491507,MUKAYIRANGA Florence,60,Female,Bachelor's,Marketing,Bachelor's in Marketing,"Email Marketing, Google Analytics, Market Research, Social Media",1988,37,Google Analytics Certification,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
841,1198770000777946,MUKASHYAKA Patrick,38,Female,Bachelor's,Information Technology,Bachelor's in Information Technology,"Linux, ITIL, Cybersecurity, Cloud Computing, Windows Server, Networking",2009,16,ITIL Foundation,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
842,2199980007602991,NDAYISENGA Olivier,26,Male,Bachelor's,Education,Bachelor's in Education,"Assessment, Curriculum Development, Lesson Planning",2023,2,TESOL,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
843,1199980005523561,MUTABAZI Paul,26,Male,Diploma,Marketing,Diploma in Marketing,"SEO, Content Marketing, Email Marketing, Social Media, Market Research, Google Analytics",2019,6,Google Analytics Certification,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
844,1197770008527789,MUKAMANA Paul,48,Female,PhD,Accounting,PhD in Accounting,"Taxation, CPA, Excel",2010,15,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
845,1196770002950264,MUKAGASANA Peter,58,Female,Master's,Engineering,Master's in Engineering,"Project Management, SolidWorks, Technical Drawing",1991,34,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
846,1198880006781277,MUTABAZI Paul,37,Male,Bachelor's,Nursing,Bachelor's in Nursing,"Patient Care, Healthcare Ethics, Emergency Response, Medical Records",2011,14,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
847,1199370003486298,MUKANDAYA Emmanuel,32,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Taxation, Excel, CPA, QuickBooks, Financial Reporting, Auditing",2018,7,"CIA, CPA",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
848,1197670007986617,MUKASHYAKA Chantal,49,Female,Bachelor's,Engineering,Bachelor's in Engineering,"Project Management, MATLAB, Quality Control, SolidWorks, AutoCAD, Technical Drawing",1998,27,"PE License, LEED",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
849,1199480003552165,KAMALI Patrick,31,Male,Diploma,Computer Science,Diploma in Computer Science,"Java, Algorithms, C++, SQL, Web Development, Machine Learning",2016,9,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
850,1199680009679089,KAMALI Chantal,29,Male,PhD,Engineering,PhD in Engineering,"MATLAB, Project Management, SolidWorks, Technical Drawing, AutoCAD",2025,0,LEED,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
851,1200280008694842,HABIYAREMYE Olivier,23,Male,Bachelor's,Accounting,Bachelor's in Accounting,"SAP, Financial Reporting, Auditing",2025,0,"CIA, CFA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
852,1198280003867673,MUTABAZI Jean,43,Male,Bachelor's,Engineering,Bachelor's in Engineering,"Technical Drawing, Project Management, SolidWorks",2005,20,"PE License, PMI-PMP, Six Sigma Green Belt",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
853,2197070006829968,MUKARUHOGO Chantal,55,Female,Master's,Engineering,Master's in Engineering,"MATLAB, SolidWorks, Quality Control, Project Management",1999,26,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
854,1197970003504056,MUKAYIRANGA Florence,46,Female,Master's,Marketing,Master's in Marketing,"Market Research, Google Analytics, SEO, Email Marketing, Social Media",2008,17,Facebook Blueprint,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
